waypoint1	waypoint2	distance_m	duration_s
651 Kapkowski Rd, Elizabeth, NJ 07201	40.238645, -74.721615	89593	3343
211 Main St, West Orange, NJ 07052	560 Northfield Ave, West Orange, NJ 07052	5174	570
1 Metlife Stadium Dr, East Rutherford, NJ 07073	Beach Ave, Cape May, NJ 08204	250997	8925
521 NJ-47, Cape May, NJ 08204	320 7th St, Beach Haven, NJ 08008	124538	5277
600 Boardwalk, Ocean City, NJ 08226	Hudson River Waterfront Walkway, Jersey City, NJ 07302	203830	7752
600 Boardwalk, Ocean City, NJ 08226	168 Stevens St, West Cape May, NJ 08204	56318	2979
320 7th St, Beach Haven, NJ 08008	1 Ocean Ave, Ocean Grove, NJ 07756	88485	4415
600 Boardwalk, Ocean City, NJ 08226	651 Kapkowski Rd, Elizabeth, NJ 07201	188470	6938
560 Northfield Ave, West Orange, NJ 07052	40.238645, -74.721615	106520	4245
320 7th St, Beach Haven, NJ 08008	500 Forrestal Rd, Rio Grande, NJ 08242	124866	5364
211 Main St, West Orange, NJ 07052	1 Ocean Ave, Ocean Grove, NJ 07756	87740	3799
560 Northfield Ave, West Orange, NJ 07052	215 Light House Ave, Cape May Point, NJ 08212	253999	9240
500 Forrestal Rd, Rio Grande, NJ 08242	McCormick Hall, Princeton, NJ 08544	207145	7634
320 7th St, Beach Haven, NJ 08008	168 Stevens St, West Cape May, NJ 08204	132806	5735
521 NJ-47, Cape May, NJ 08204	1 Metlife Stadium Dr, East Rutherford, NJ 07073	246556	8679
521 NJ-47, Cape May, NJ 08204	1 Borgata Way, Atlantic City, NJ 08401	74297	2963
600 Boardwalk, Ocean City, NJ 08226	Beach Ave, Cape May, NJ 08204	53541	2831
320 7th St, Beach Haven, NJ 08008	600 Boardwalk, Ocean City, NJ 08226	83974	4270
651 Kapkowski Rd, Elizabeth, NJ 07201	Beach Ave, Cape May, NJ 08204	233476	8192
1 Hudson Pl, Hoboken, NJ 07030	215 Light House Ave, Cape May Point, NJ 08212	255738	9389
168 Stevens St, West Cape May, NJ 08204	Beach Ave, Cape May, NJ 08204	3652	524
Hudson River Waterfront Walkway, Jersey City, NJ 07302	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	189607	6840
Hudson River Waterfront Walkway, Jersey City, NJ 07302	Beach Ave, Cape May, NJ 08204	248836	9006
211 Main St, West Orange, NJ 07052	1 Audrey Zapp Drive, Jersey City, NJ 07305	31654	1691
500 Forrestal Rd, Rio Grande, NJ 08242	Hudson River Waterfront Walkway, Jersey City, NJ 07302	244722	8846
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	560 Northfield Ave, West Orange, NJ 07052	154205	6029
500 Forrestal Rd, Rio Grande, NJ 08242	1 Ocean Ave, Ocean Grove, NJ 07756	169818	6503
600 Boardwalk, Ocean City, NJ 08226	208 Broadway, Barnegat Light, NJ 08006	87510	4492
1 Hudson Pl, Hoboken, NJ 07030	1 Metlife Stadium Dr, East Rutherford, NJ 07073	13192	1470
500 Forrestal Rd, Rio Grande, NJ 08242	211 Main St, West Orange, NJ 07052	241935	8542
208 Broadway, Barnegat Light, NJ 08006	560 Northfield Ave, West Orange, NJ 07052	166541	6793
1 Ocean Ave, Ocean Grove, NJ 07756	1000 Ocean Ave, Asbury Park, NJ 07712	3409	686
521 NJ-47, Cape May, NJ 08204	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	242991	8492
1 Borgata Way, Atlantic City, NJ 08401	McCormick Hall, Princeton, NJ 08544	163183	5969
500 Forrestal Rd, Rio Grande, NJ 08242	215 Light House Ave, Cape May Point, NJ 08212	13176	1056
211 Main St, West Orange, NJ 07052	40.238645, -74.721615	103868	4024
Hudson River Waterfront Walkway, Jersey City, NJ 07302	39.102851, -74.814134	227724	8126
560 Northfield Ave, West Orange, NJ 07052	Hudson River Waterfront Walkway, Jersey City, NJ 07302	24660	1983
168 Stevens St, West Cape May, NJ 08204	39.102851, -74.814134	25154	1381
168 Stevens St, West Cape May, NJ 08204	560 Northfield Ave, West Orange, NJ 07052	250861	8964
560 Northfield Ave, West Orange, NJ 07052	1 Ocean Ave, Ocean Grove, NJ 07756	90543	4107
320 7th St, Beach Haven, NJ 08008	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	71431	3465
Hudson River Waterfront Walkway, Jersey City, NJ 07302	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	70149	3049
1 Hudson Pl, Hoboken, NJ 07030	McCormick Hall, Princeton, NJ 08544	79958	4178
Beach Ave, Cape May, NJ 08204	40.238645, -74.721615	199004	7181
215 Light House Ave, Cape May Point, NJ 08212	Beach Ave, Cape May, NJ 08204	5915	681
1 Metlife Stadium Dr, East Rutherford, NJ 07073	651 Kapkowski Rd, Elizabeth, NJ 07201	23698	1360
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	320 7th St, Beach Haven, NJ 08008	113109	6123
521 NJ-47, Cape May, NJ 08204	600 Boardwalk, Ocean City, NJ 08226	48560	2625
1 Ocean Ave, Ocean Grove, NJ 07756	1 Borgata Way, Atlantic City, NJ 08401	121486	4955
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	1 Borgata Way, Atlantic City, NJ 08401	96281	3673
521 NJ-47, Cape May, NJ 08204	168 Stevens St, West Cape May, NJ 08204	15135	1030
1 Audrey Zapp Drive, Jersey City, NJ 07305	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	69014	2880
215 Light House Ave, Cape May Point, NJ 08212	651 Kapkowski Rd, Elizabeth, NJ 07201	238776	8510
1 Hudson Pl, Hoboken, NJ 07030	Beach Ave, Cape May, NJ 08204	250438	9071
208 Broadway, Barnegat Light, NJ 08006	39.102851, -74.814134	111404	4866
Hudson River Waterfront Walkway, Jersey City, NJ 07302	40.238645, -74.721615	104915	4151
215 Light House Ave, Cape May Point, NJ 08212	Hudson River Waterfront Walkway, Jersey City, NJ 07302	254135	9323
1 Hudson Pl, Hoboken, NJ 07030	521 NJ-47, Cape May, NJ 08204	245997	8825
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	6415 E Black Horse Pike, Egg Harbor Township, NJ 08234	81564	3263
100 Clinton St, Camden, NJ 081033501 Boardwalk, Wildwood, NJ 08260	1 Audrey Zapp Drive, Jersey City, NJ 07305	142136	5819
651 Kapkowski Rd, Elizabeth, NJ 07201	1 Borgata Way, Atlantic City, NJ 08401	183607	6332
215 Light House Ave, Cape May Point, NJ 08212	39.102851, -74.814134	28252	1633
40.238645, -74.721615	39.102851, -74.814134	178649	6242
211 Main St, West Orange, NJ 07052	Hudson River Waterfront Walkway, Jersey City, NJ 07302	22729	1765
211 Main St, West Orange, NJ 07052	168 Stevens St, West Cape May, NJ 08204	248931	8746
1 Hudson Pl, Hoboken, NJ 07030	560 Northfield Ave, West Orange, NJ 07052	25661	1966
500 Forrestal Rd, Rio Grande, NJ 08242	1112 Dukes Pkwy W, Hillsborough Township, NJ 08844	243319	8579
